"Stock.ID","Stock","BY","Species","Region","Sub.Region","S","R","UseFlag","R2","R3","R4","R5","R6","R7","Lat","Lon","Ocean.Region2"
303,"S Sound Summer",1986,"Chum","Inside WA","Inside WA",10019,61065,1,0,0.0879390813068042,0.800196511913535,0.111864406779661,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1987,"Chum","Inside WA","Inside WA",19058,28878,1,0,0.0682872775122931,0.742676085601496,0.189036636886211,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1988,"Chum","Inside WA","Inside WA",31282,150291,1,0,0.0761056882980351,0.867922896247946,0.0559647616956438,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1989,"Chum","Inside WA","Inside WA",7424,31869,1,0,0.171294988860648,0.62439988703756,0.204305124101792,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1990,"Chum","Inside WA","Inside WA",14385,69011,1,0,0.105794728376636,0.798206083088203,0.0959991885351611,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1991,"Chum","Inside WA","Inside WA",12181,7442,1,0,0.300188121472722,0.607766729373824,0.0921795216339694,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1992,"Chum","Inside WA","Inside WA",27760,177629,1,0,0.29513761829431,0.683458219097107,0.0214041626085831,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1993,"Chum","Inside WA","Inside WA",33177,17264,1,0,0.172903151065802,0.627896200185357,0.199200648748842,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1994,"Chum","Inside WA","Inside WA",54391,54085,1,0,0.0379957474345937,0.916095035592123,0.0458907275584728,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1995,"Chum","Inside WA","Inside WA",55179,50146,1,0,0.688350017947593,0.298408646751486,0.0132612770709528,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1996,"Chum","Inside WA","Inside WA",114316,47511,1,0,0.128370272147503,0.782471427669382,0.0891583001831155,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1997,"Chum","Inside WA","Inside WA",16001,56728,1,0,0.0200958962064589,0.91736003384572,0.0625440699478212,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1998,"Chum","Inside WA","Inside WA",80404,75468,1,0,0.368831822759315,0.59944612286002,0.0317220543806647,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1999,"Chum","Inside WA","Inside WA",23461,42079,1,0,0.231897145844721,0.597281304213503,0.170821549941776,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2000,"Chum","Inside WA","Inside WA",27705,201832,1,0,0.106737286456062,0.80230092354037,0.0909617900035673,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2001,"Chum","Inside WA","Inside WA",62821,30102,1,0,0.301641086970965,0.698358913029035,0,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2002,"Chum","Inside WA","Inside WA",46798,78678,1,0,0.071328706881212,0.901357431556471,0.027301151529017,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2003,"Chum","Inside WA","Inside WA",45945,51969,1,0,0.151628855663954,0.806865631434124,0.0415247551424888,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2004,"Chum","Inside WA","Inside WA",120782,42582,1,0,0.320135268423277,0.606476915128458,0.073411300549528,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2005,"Chum","Inside WA","Inside WA",24701,29100,1,0,0.140309278350515,0.644604810996564,0.215120274914089,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2006,"Chum","Inside WA","Inside WA",63345,41794,1,0,0.0747954251806479,0.857156529645404,0.068024118294492,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2007,"Chum","Inside WA","Inside WA",52669,44996,1,0,0.155591608142946,0.692217085963197,0.152191305893857,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2008,"Chum","Inside WA","Inside WA",20872,30153,1,0,0.193048784532219,0.668358040659304,0.138626339004411,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2009,"Chum","Inside WA","Inside WA",21659,46599,1,0,0.256121375995193,0.697890512671946,0.0459666516448851,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2010,"Chum","Inside WA","Inside WA",43739,28681,1,0,0.0568669153795195,0.749102193089502,0.194030891530979,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2011,"Chum","Inside WA","Inside WA",38515,14928,1,0,0.113210075026795,0.789389067524116,0.097400857449089,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2012,"Chum","Inside WA","Inside WA",24521,28601,1,0,0.532184189364008,0.413551973707213,0.0542638369287787,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2013,"Chum","Inside WA","Inside WA",35441,37381,1,0,0.160803616810679,0.825125063534951,0.0140445680960916,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2014,"Chum","Inside WA","Inside WA",20593,20139,1,0,0.3178906599136,0.677987983514574,0.00412135657182581,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2015,"Chum","Inside WA","Inside WA",32521,21360,1,0,0.553183520599251,0.375514981273408,0.0713014981273408,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",2016,"Chum","Inside WA","Inside WA",19068,23326,1,0,0.347423475949584,0.583254737203121,0.0693646574637743,0,0,47.042,-122.835,"WC"
