"","Model","Competitor index","Parameter","Era","Region","Posterior_Mean","Lower_2.5_CI","Lower_10_CI","Posterior_Median","Upper_90_CI","Upper_97.5_CI"
"73","2","all_spp_numbers_np","SST effect","All","West Coast",-0.0700252698070997,-0.135623295916291,-0.111737942294281,-0.0694750620982844,-0.0289895505656037,-0.00741750080421683
"74","2","all_spp_numbers_np","SST effect","All","Southeast Alaska",0.0408782774143338,-0.0772283200783381,-0.033420309178789,0.0398065920691214,0.116568333080025,0.157991124635342
"75","2","all_spp_numbers_np","SST effect","All","Gulf of Alaska",0.0317570999712173,-0.0438467891921539,-0.015636415246156,0.0327703612765122,0.0782555791298615,0.104633605534454
"76","2","all_spp_numbers_np","SST effect","All","Bering Sea",0.20365970316336,0.129823379128524,0.15441605449628,0.202452024503173,0.253521072696463,0.28434253210505
"77","2","all_spp_numbers_np","Competitor effect","All","West Coast",-0.346213800106532,-0.418066438847585,-0.391446273460507,-0.346184782430755,-0.300123198300439,-0.273793716860921
"78","2","all_spp_numbers_np","Competitor effect","All","Southeast Alaska",-0.0957149144652937,-0.269801189694718,-0.20440995256241,-0.0963652283562055,0.0121070379376616,0.0888635889988999
"79","2","all_spp_numbers_np","Competitor effect","All","Gulf of Alaska",-0.00112335548855862,-0.136684462255458,-0.0812866555787466,0.0030468805989815,0.0741487921271201,0.11466066106787
"80","2","all_spp_numbers_np","Competitor effect","All","Bering Sea",0.0575180656159625,-0.0430023530152325,-0.00353329160709372,0.0579140928223096,0.119396045383295,0.153023092374097
"81","2","all_spp_numbers_np","SST x Competitor effect","All","West Coast",-0.0625985040583052,-0.118557812479251,-0.0994297702208976,-0.0617967144781679,-0.0279288782538959,-0.00798655916691907
"82","2","all_spp_numbers_np","SST x Competitor effect","All","Southeast Alaska",-0.074581474667022,-0.186666239875882,-0.147163720735205,-0.0746119212676642,-0.00306006709566706,0.0414461502575067
"83","2","all_spp_numbers_np","SST x Competitor effect","All","Gulf of Alaska",-0.0506596574503912,-0.111291224013617,-0.0901750212770979,-0.0516246625483639,-0.0108900916607441,0.0111687951449855
